siyam_ref,type,make,application,year,core_size,number_of_rows,inlet_pipe,outlet_pipe,eoc,toc,oems,replaces,category
IC053BP,Bar & Plate Powder Coated,Peterbilt / Kenworth,"Peterbilt 367, 567, 365, 355 / Kenworth T800, T660",2007-2024,"37 1/3"" X 30 3/13"" X 1 15/16""",1,"4""","4""",N4098001 / N4098002 / N7763001 / N9386001 / U8192001 / W6925001 / W6925002 / 1030531 / BHTU8192001,HDH010566BP,,,cac
IC054,Tube & Fin Powder Coated,Peterbilt / Kenworth,"Peterbilt 587, 579, 579Epic, 367, 387 / Kenworth T880, 880S, T680, T800, T2000 ",2008-2021,"37 7/16"" X 26"" X 1 15/16""",1,"4""","4""",N1215001 / N4095001 / N4095002 / N8985001 / CV577001 / M4127000 / M4127001 / W6924001 / W6924002,222281 / HDH010565 / CAC320 / PET17718 / FLX010517 / SRMPB20J / 4401-3815 / 441313,,,cac
IC054BP,Bar & Plate Powder Coated,Peterbilt / Kenworth,"Peterbilt 587, 579, 579Epic, 367, 387 / Kenworth T880, 880S, T680, T800, T2000 ",2008-2021,"37 7/16"" X 26"" X 1 15/16""",1,"4""","4""",N1215001 / N4095001 / N4095002 / N8985001 / CV577001 / M4127000 / M4127001 / W6924001 / W6924002,HDH010565BP,,,cac
IC061,Tube & Fin Powder Coated,Peterbilt / Kenworth,"Peterbilt 579 / Kenworth T880 X15, T880 MX13, T680 X15",2018-2024,"37 3/13"" X 21 12/16"" X 1 15/16""",1,"4""","4""",HK186001 / LH821001,222370 / HDH010796 / FLX010328 / KEN16513 / CAC324,,,cac
IC061BP,Bar & Plate Powder Coated,Peterbilt / Kenworth,"Peterbilt 579 / Kenworth T880 X15, T880 MX13, T680 X15",2018-2024,"37 3/13"" X 21 12/16"" X 1 15/16""",1,"4""","4""",HK186001 / LH821001,,,,cac
IMS-130,Copper/Brass Radiator,Ford,"Falcon Futura, Falcon Sedan, Mustang",1963-1965,"16 7/16"" x 17 3/16"" x 1 3/4""",3RB,"1 1/2""","1 3/4""",Yes,No,"C4ZE8005B, C4AE8005G2, C4DE8005C",DPI 130,automotive_cb
IMS-332,Copper/Brass Radiator,Chrysler,"300, Imperial",1966-1970,"17 9/16"" x 26 1/16"" x 1 3/4""",3RIMS,"1 1/2""","1 3/4""",Yes,No,2582962 / 2785931 / 2998970 / 3949040,DPI 332,automotive_cb
IMS-340,Copper/Brass Radiator,Ford,Mustang,1967-1970,"16 7/16"" x 20 5/16"" x 1 1/8""",2RIMS,"1 1/2""","1 3/4""",Yes,No,,DPI 340,automotive_cb
IMS-390,Copper/Brass Radiator,Ford,"Elite, Gran Torino",1973-1976,"28 5/16"" x 19 1/2"" x 1 3/4""",3RB,"1 1/2""","1 1/2""",Yes,No,D2OE8005CC / D2OE8005DB / D2OE8005LB / D2SE8005AB / D2SE8005CA / D2SE8005DA / D3OE8005DC / D3OE8005GC,DPI 390,automotive_cb
IMS-401,Copper/Brass Radiator,Ford,"Country Sedan, Country Squire",1973-1977,"29 13/16"" x 19 1/2"" x 1 3/4""",3RB,"1 1/2""","1 1/2""",Yes,No,D3AE8005AC / D3AE8005BC / D4VF8005AA / D5VH8005AA,DPI 401,automotive_cb
IMS-477,Copper/Brass Radiator,Others,Pontiac Firebird,1970-1981,"27 13/16"" x 18 1/2"" x 2 7/16""",4RB,"1 1/2""","1 9/16""",Yes,No,20017 / 3027947 / 3043209,DPI 477,automotive_cb
IMS-478,Copper/Brass Radiator,Chevrolet,Corvette,1973-1976,"27 13/16"" x 18 1/2"" x 2 7/16""",4RIMS,"1 1/2""","1 3/4""",No,No,3030132 / 3030199 / 3030201,DPI 478,automotive_cb
IMS-499,Copper/Brass Radiator,Chrysler,Chrysler Valiant / Dodge Dart 360,1973-1979,"27 13/16"" x 18 1/2"" x 1 1/8""",4RB,"1 1/2""","1 3/4""",Yes,No,,DPI 499,automotive_cb
